"folder","analysis","run_on","outcome_num","outcome","hr","lcl","ucl"
"Concuss_1x_1_year_V12_(1)_743571","Concuss 1x 1 year V12 (1)","Mar 11, 2026, 1:02 pm",1,"SUD",1.593425,1.453178,1.747208
"Concuss_1x_1_year_V12_(1)_743571","Concuss 1x 1 year V12 (1)","Mar 11, 2026, 1:02 pm",2,"Alcohol Related Disorder",1.512069,1.222245,1.870618
"Concuss_1x_1_year_V12_(1)_743571","Concuss 1x 1 year V12 (1)","Mar 11, 2026, 1:02 pm",3,"cannabis related disorde",1.952687,1.691058,2.254794
"Concuss_1x_1_year_V12_(1)_743571","Concuss 1x 1 year V12 (1)","Mar 11, 2026, 1:02 pm",4,"Mood affect disorder",1.930855,1.820362,2.048055
"Concuss_1x_1_year_V12_(1)_743571","Concuss 1x 1 year V12 (1)","Mar 11, 2026, 1:02 pm",5,"Anxiety",2.021445,1.933979,2.112867
"Concuss_1x_1_year_V12_(1)_743571","Concuss 1x 1 year V12 (1)","Mar 11, 2026, 1:02 pm",6,"ADHD",2.0159,1.904472,2.133847
"Concuss_1x_1_year_V12_(1)_743571","Concuss 1x 1 year V12 (1)","Mar 11, 2026, 1:02 pm",7,"Psychosis",1.88721,1.309443,2.719906
"Concuss_1x_1_year_V12_(1)_743571","Concuss 1x 1 year V12 (1)","Mar 11, 2026, 1:02 pm",8,"opioid related disorder",1.472675,0.964423,2.248775
"Concuss_2x_5_year_V12_(1)_(1)_324406","Concuss 2x 5 year V12 (1) (1)","Mar 11, 2026, 1:14 pm",1,"SUD",0.8981319,0.8389554,0.9614826
"Concuss_2x_5_year_V12_(1)_(1)_324406","Concuss 2x 5 year V12 (1) (1)","Mar 11, 2026, 1:14 pm",2,"Alcohol Related Disorder",0.9877558,0.8390677,1.162792
"Concuss_2x_5_year_V12_(1)_(1)_324406","Concuss 2x 5 year V12 (1) (1)","Mar 11, 2026, 1:14 pm",3,"cannabis related disorde",0.997041,0.899884,1.104688
"Concuss_2x_5_year_V12_(1)_(1)_324406","Concuss 2x 5 year V12 (1) (1)","Mar 11, 2026, 1:14 pm",4,"Mood affect disorder",1.126849,1.078636,1.177217
"Concuss_2x_5_year_V12_(1)_(1)_324406","Concuss 2x 5 year V12 (1) (1)","Mar 11, 2026, 1:14 pm",5,"Anxiety",1.17655,1.134801,1.219834
"Concuss_2x_5_year_V12_(1)_(1)_324406","Concuss 2x 5 year V12 (1) (1)","Mar 11, 2026, 1:14 pm",6,"ADHD",1.13266,1.077159,1.19102
"Concuss_2x_5_year_V12_(1)_(1)_324406","Concuss 2x 5 year V12 (1) (1)","Mar 11, 2026, 1:14 pm",7,"Psychosis",0.8040239,0.6007191,1.076134
"Concuss_2x_5_year_V12_(1)_(1)_324406","Concuss 2x 5 year V12 (1) (1)","Mar 11, 2026, 1:14 pm",8,"opioid related disorder",0.8026206,0.5751876,1.119982
"Concuss_3x_5_year_V12_150741","Concuss 3x 5 year V12","Mar 11, 2026, 1:21 pm",1,"SUD",1.017437,0.9188979,1.126544
"Concuss_3x_5_year_V12_150741","Concuss 3x 5 year V12","Mar 11, 2026, 1:21 pm",2,"Alcohol Related Disorder",1.228685,0.9666198,1.5618
"Concuss_3x_5_year_V12_150741","Concuss 3x 5 year V12","Mar 11, 2026, 1:21 pm",3,"cannabis related disorde",1.0929,0.9410255,1.269287
"Concuss_3x_5_year_V12_150741","Concuss 3x 5 year V12","Mar 11, 2026, 1:21 pm",4,"Mood affect disorder",1.040599,0.9778811,1.107339
"Concuss_3x_5_year_V12_150741","Concuss 3x 5 year V12","Mar 11, 2026, 1:21 pm",5,"Anxiety",1.083206,1.028762,1.140531
"Concuss_3x_5_year_V12_150741","Concuss 3x 5 year V12","Mar 11, 2026, 1:21 pm",6,"ADHD",1.050361,0.9754042,1.131077
"Concuss_3x_5_year_V12_150741","Concuss 3x 5 year V12","Mar 11, 2026, 1:21 pm",7,"Psychosis",1.846418,1.068888,3.189539
"Concuss_3x_5_year_V12_150741","Concuss 3x 5 year V12","Mar 11, 2026, 1:21 pm",8,"opioid related disorder",1.030144,0.6403871,1.657116
