comparison,outcome,n_per_arm,p_control,p_exposed_at_MCID,power,meets_80pct_power
CX1_vs_CTLFX,Mood disorders,68375,0.03982449725776965,0.047789396709323584,1,TRUE
CX2_vs_CX1,Mood disorders,22547,0.13407548676098816,0.16089058411318577,1,TRUE
CX3_vs_CX2,Mood disorders,8911,0.16215912916619907,0.19459095499943888,1,TRUE
CX1_vs_CTLFX,Anxiety disorders,68375,0.0686508226691042,0.08238098720292504,1,TRUE
CX2_vs_CX1,Anxiety disorders,22547,0.19807513194660042,0.2376901583359205,1,TRUE
CX3_vs_CX2,Anxiety disorders,8911,0.2462125462911009,0.29545505554932106,1,TRUE
CX1_vs_CTLFX,ADHD,68375,0.03840585009140768,0.046087020109689215,1,TRUE
CX2_vs_CX1,ADHD,22547,0.1092384796203486,0.13108617554441832,1,TRUE
CX3_vs_CX2,ADHD,8911,0.1253506901582314,0.15042082818987765,1,TRUE
CX1_vs_CTLFX,Unspecified psychosis,68375,0.001287020109689214,0.0015444241316270567,0.21459893321885062,FALSE
CX2_vs_CX1,Unspecified psychosis,22547,0.0034150884818379386,0.0040981061782055265,0.9995222673587045,TRUE
CX3_vs_CX2,Unspecified psychosis,8911,0.0028055212658511953,0.003366625519021434,0.7496296570027152,FALSE
CX1_vs_CTLFX,Generalized SUD,68375,0.020782449725776964,0.024938939670932355,1,TRUE
CX2_vs_CX1,Generalized SUD,22547,0.05894354016055351,0.07073224819266422,1,TRUE
CX3_vs_CX2,Generalized SUD,8911,0.06026259679048367,0.07231511614858041,1,TRUE
CX1_vs_CTLFX,Alcohol-related,68375,0.004109689213893967,0.00493162705667276,1,TRUE
CX2_vs_CX1,Alcohol-related,22547,0.010511376236306382,0.012613651483567658,1,TRUE
CX3_vs_CX2,Alcohol-related,8911,0.012232072719111212,0.014678487262933453,0.9999999999997453,TRUE
CX1_vs_CTLFX,Cannabis-related,68375,0.008321755027422304,0.009986106032906764,1,TRUE
CX2_vs_CX1,Cannabis-related,22547,0.024925710737570408,0.029910852885084487,1,TRUE
CX3_vs_CX2,Cannabis-related,8911,0.027830770957243855,0.03339692514869262,1,TRUE
CX1_vs_CTLFX,Opioid-related,68375,8.921389396709323e-4,0.0010705667276051187,0.1836748527923305,FALSE
CX2_vs_CX1,Opioid-related,22547,0.003503792078768794,0.004204550494522553,0.999719114978924,TRUE
CX3_vs_CX2,Opioid-related,8911,0.001683312759510717,0.0020199753114128606,0.1968162178538155,FALSE
